Ai,Real,MLP,OLS
$A_{1}$,6,6,6
$A_{2}$,18,20,20
$A_{3}$,30,30,30
$A_{4}$,11,11,11
$A_{5}$,29,29,29
$A_{6}$,13,15,16
$A_{7}$,5,4,5
$A_{8}$,7,7,7
$A_{9}$,4,5,4
$A_{10}$,16,16,15
$A_{11}$,15,13,13
$A_{12}$,26,26,26
$A_{13}$,22,24,24
$A_{14}$,1,1,1
$A_{15}$,9,10,9
$A_{16}$,19,19,19
$A_{17}$,8,8,8
$A_{18}$,28,28,28
$A_{19}$,10,9,10
$A_{20}$,27,27,27
$A_{21}$,20,18,18
$A_{22}$,2,2,2
$A_{23}$,25,25,25
$A_{24}$,14,14,14
$A_{25}$,24,23,23
$A_{26}$,21,22,22
$A_{27}$,12,12,12
$A_{28}$,23,21,21
$A_{29}$,3,3,3
$A_{30}$,17,17,17
